Car,Model,Mode,Driven (km),Fuel,Horse Power,Location,Price (Rs : lacs)
Suzuki Every Wagon  2019 PZ Turbo Special ,2022,Manual,"45,000",Petrol,999,Lahore,PKR 25.4 lacs
Honda Vezel  2018  ,2020,Automatic,"70,000",Diesel,2800,Lahore,PKR 1.1 crore
Toyota Land Cruiser  2008 AX G Selection ,2010,Automatic,"70,000",Petrol,660,Lahore,PKR 12 lacs
Hyundai Sonata  2023 2.0 ,2014,Manual,"1,117",Petrol,1000,Lahore,PKR 8.5 lacs
Toyota Land Cruiser  2019 ZX ,2013,Manual,"189,070",Petrol,1300,Lahore,PKR 18.7 lacs
Toyota Land Cruiser 100 Series 2001 Cygnus ,2015,Automatic,"80,000",Petrol,660,Lahore,PKR 24.95 lacs
Hyundai Santro  2008 Exec GV ,2017,Automatic,"95,500",Petrol,1200,Lahore,PKR 65 lacs
Toyota Land Cruiser  1999 VX Limited 4.7 ,2013,Manual,"60,000",Petrol,1300,Lahore,PKR 22.2 lacs
Toyota Vitz  2018 F 1.0 ,2016,Manual,"141,000",Petrol,1300,Lahore,PKR 31 lacs
Toyota Prius  2011 G Touring Selection Leather Package 1.8 ,2017,Manual,"95,250",Petrol,1300,Lahore,PKR 26.5 lacs
MG HS  2022 Trophy ,2024,Automatic,7,Petrol,1200,Lahore,PKR 47.75 lacs
Toyota Sienta  2018 X ,2022,Automatic,"35,000",Petrol,2000,Lahore,PKR 62.5 lacs
KIA Sport,2022,Automatic,"9,000",Petrol,660,Lahore,PKR 37.8 lacs
Audi,2020,Automatic,"17,000",Petrol,2000,Lahore,PKR 66.75 lacs
Toyota Ya,2020,Automatic,"49,000",Petrol,2000,Lahore,PKR 69.5 lacs
Honda C,2022,Automatic,"7,500",Petrol,1300,Lahore,PKR 30 lacs
Suzuki Cul,2022,Automatic,1,Petrol,1600,Lahore,PKR 66 lacs
Toyota Coro,2023,Automatic,1,Petrol,1500,Lahore,PKR 76 lacs
Toyota Pr,2022,Automatic,"27,500",Petrol,1800,Lahore,PKR 68 lacs
Honda C,2018,Automatic,"6,100",Petrol,2700,Lahore,PKR 3.25 crore
Honda N ,2001,Automatic,"140,000",Petrol,3400,Lahore,PKR 59.9 lacs
Suzuki Cul,2020,Automatic,"32,815",Petrol,2000,Lahore,PKR 72 lacs
DFSK Glory 580  2021 1.5 CVT ,2017,Automatic,"111,000",Petrol,1800,Lahore,PKR 49 lacs
MG 4  2024 Essence ,2020,Automatic,"107,000",Petrol,1500,Lahore,PKR 41.75 lacs
MG HS  2023 Essence ,2019,Automatic,"126,000",Petrol,1800,Lahore,PKR 54.75 lacs
MG HS  2021 Trophy ,2022,Automatic,"16,000",Petrol,660,Lahore,PKR 28.95 lacs
MG HS  2021 1.5 Turbo ,2021,Manual,"36,000",Petrol,1000,Lahore,PKR 33.4 lacs
MG HS  2021 1.5 Turbo ,2021,Automatic,"38,500",Petrol,1000,Lahore,PKR 30 lacs
Toyota Tank  2018 G Turbo  ,2014,Automatic,"123,000",Petrol,1800,Lahore,PKR 35 lacs
MG HS  2021 1.5 Turbo ,2019,Automatic,"125,000",Diesel,3000,Lahore,PKR 83 lacs
Honda Civic  2016 Turbo 1.5 VTEC CVT ,2017,Manual,"70,000",Petrol,1000,Lahore,PKR 22.75 lacs
Hyundai Sonata  2023 2.5 ,2014,Automatic,"146,000",Petrol,1800,Lahore,PKR 31.5 lacs
Toyota Corolla 9th Generation 2007 XLi ,2017,Manual,"83,000",Petrol,1000,Lahore,PKR 21.5 lacs
Toyota Corolla  2019 Altis Automatic 1.6 ,2017,Automatic,"88,500",Petrol,1800,Lahore,PKR 51.5 lacs
Honda City  2009  ,2007,Automatic,"185,000",Petrol,1500,Lahore,PKR 41 lacs
Land Rover Defender  2004 110 ,2012,Automatic,"174,000",Petrol,1800,Lahore,PKR 65 lacs
Toyota Rav4  2002 Style S Package ,2007,Manual,"68,392",Petrol,1300,Lahore,PKR 13.5 lacs
Toyota Land Cruiser  2017 ZX ,2020,Automatic,"24,700",Petrol,1000,Lahore,PKR 28.8 lacs
Suzuki Every Wagon  2016  ,2018,Manual,"100,000",Petrol,800,Lahore,PKR 9.5 lacs
Toyota Corolla  2018 Altis Automatic 1.6 ,2011,Manual,"125,000",Petrol,1300,Lahore,PKR 21.8 lacs
MG HS  2021 Trophy ,2010,Automatic,"200,000",Petrol,1800,Lahore,PKR 21.75 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2007,Automatic,"130,000",Petrol,1300,Lahore,PKR 18.75 lacs
Toyota Hilux  2005  ,2019,Automatic,"70,530",Petrol,2700,Lahore,PKR 1.25 crore
Toyota Corolla  2019 XLi Automatic ,2017,Automatic,"73,000",Petrol,660,Lahore,PKR 27.35 lacs
Toyota Land Cruiser 100 Series 1999 VX Limited 4.2D ,1990,Manual,"120,000",Petrol,1300,Lahore,PKR 4 lacs
Honda City 6th Generation 2022 1.2L CVT ,2012,Manual,"172,500",Petrol,1300,Lahore,PKR 19.5 lacs
Toyota Prado 120 Series 2007 TX Limited 3.0D ,1986,Automatic,"55,325",Petrol,1300,Lahore,PKR 5.5 lacs
Honda Civic 11th Generation 2023 RS ,2009,Automatic,"112,564",Petrol,1800,Lahore,PKR 24.25 lacs
Suzuki Swift  2018 RS 1.0 ,2017,Manual,"101,000",Petrol,1300,Lahore,PKR 23.5 lacs
Honda Vezel  2016 Hybrid RS Honda Sensing  ,2018,Automatic,"52,500",Petrol,659,Lahore,PKR 32 lacs
Honda Civic  2019 1.5 RS Turbo ,2020,Automatic,"22,000",Petrol,660,Lahore,PKR 33.95 lacs
Honda Civic 11th Generation 2022 RS ,2020,Automatic,"18,000",Hybrid,660,Lahore,PKR 33.95 lacs
Nissan Dayz  2017 S ,2020,Automatic,"46,000",Petrol,660,Lahore,PKR 32.95 lacs
Honda Vezel  2016 Hybrid RS Honda Sensing  ,2020,Automatic,"24,000",Petrol,660,Lahore,PKR 36.75 lacs
Honda Vezel  2016 Hybrid RS Honda Sensing  ,2018,Automatic,"43,000",Petrol,1500,Lahore,PKR 65 lacs
Suzuki Mehran  2014 VX Euro II ,2020,Automatic,"42,000",Petrol,660,Lahore,PKR 34.9 lacs
MG HS  2021 1.5 Turbo ,2016,Automatic,"90,000",Petrol,660,Lahore,PKR 17.5 lacs
Honda Civic  2017 Turbo 1.5 VTEC CVT ,2022,Automatic,"47,000",Petrol,1500,Lahore,PKR 47.75 lacs
Suzuki Jimny  2022 Turbo ,2016,Automatic,"72,000",Hybrid,1500,Lahore,PKR 62 lacs
KIA Sport,2014,Automatic,"133,000",Petrol,4600,Lahore,PKR 3.25 crore
Audi,2022,Automatic,"43,000",Hybrid,1798,Lahore,PKR 1.02 crore
Toyota Ya,2017,Automatic,"70,000",Petrol,0.0,Lahore,PKR 32.45 lacs
Honda C,2018,Automatic,"110,506",Petrol,660,Lahore,PKR 24.6 lacs
Suzuki Cul,2021,Automatic,"40,000",Hybrid,1500,Lahore,PKR 1.22 crore
Toyota Coro,2012,Automatic,"124,000",Diesel,2500,Lahore,PKR 59.5 lacs
Toyota Pr,2020,Automatic,"46,900",Petrol,1800,Lahore,PKR 61 lacs
Honda C,2018,Manual,"50,000",Petrol,1300,Lahore,PKR 43.9 lacs
Honda N ,2021,Automatic,"26,500",Petrol,1000,Lahore,PKR 26.75 lacs
Suzuki Cul,2019,Automatic,"110,000",Petrol,1300,Lahore,PKR 37.5 lacs
MG HS  2021 1.5 Turbo ,2011,Automatic,"81,500",Petrol,1600,Lahore,PKR 34.75 lacs
Honda Civic  2017 Turbo 1.5 VTEC CVT ,2016,Manual,"60,000",Petrol,1000,Lahore,PKR 16.6 lacs
Hyundai Sonata  2022 2.5 ,2017,Automatic,"114,000",Petrol,1500,Lahore,PKR 34.5 lacs
Toyota Prado 90 Series 1997 RZ 3.4 (3-Door) ,2020,Automatic,"21,000",Petrol,660,Lahore,PKR 33.75 lacs
Toyota Passo  2020 X ,2015,Automatic,"90,000",Petrol,2400,Lahore,PKR 40 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2014,Automatic,"85,000",Hybrid,1500,Lahore,PKR 53 lacs
Toyota C-HR  2018 G-LED ,2024,Automatic,50,Petrol,1240,Lahore,PKR 44 lacs
Mitsubishi Ek Wagon  2019 E ,2020,Automatic,"13,000",Petrol,1200,Lahore,Call
BMW 5 Series 5th (E60) Generation 2004 530i ,2021,Automatic,"3,850",Petrol,1500,Lahore,PKR 56 lacs
KIA Sportage  2021 AWD ,2019,Manual,"46,000",Petrol,800,Lahore,PKR 14.75 lacs
Nissan Roox  2015 S Hybrid ,2018,Automatic,"38,000",Hybrid,1500,Lahore,PKR 80 lacs
Toyota Prado  2011 TX 2.7 ,2021,Manual,"230,000",Petrol,1000,Lahore,PKR 32 lacs
Hyundai Sonata  2022 2.5 ,2005,Manual,"174,560",Petrol,800,Lahore,PKR 7.59 lacs
Toyota Corolla  2019 XLi VVTi ,2016,Automatic,"63,000",Petrol,1000,Lahore,PKR 25 lacs
Toyota Hilux  2021 Revo V Automatic 2.8 ,2018,Automatic,"10,400",Petrol,1800,Lahore,PKR 52.5 lacs
Toyota Camry XV50 2014 Up-Spec Automatic 2.4 ,2020,Automatic,"17,000",Petrol,2000,Lahore,PKR 66.75 lacs
Hyundai Tucson  2020 AWD A/T Ultimate ,2014,Manual,"110,000",Petrol,1300,Lahore,PKR 27.5 lacs
Honda Fit  2014  ,2017,Automatic,"102,000",Petrol,1300,Lahore,PKR 34.95 lacs
Suzuki Cultus  2019 VXL ,2021,Automatic,"13,000",Hybrid,1496,Lahore,PKR 1.24 crore
Porsche Cayenne  2015 S E-Hybrid ,2021,Automatic,"6,500",Petrol,659,Lahore,PKR 35.5 lacs
Suzuki Wagon R  2017 VXR ,2014,Automatic,"105,000",Petrol,1800,Lahore,PKR 80 lacs
Honda Civic 11th Generation 2022 RS ,2015,Automatic,"91,000",Hybrid,1500,Lahore,PKR 48.75 lacs
Haval Jolion  2022 Top ,2020,Automatic,"47,636",Electric,60.0,Lahore,PKR 2.18 crore
Toyota Prado  2018 TX 2.7 ,2020,Automatic,"22,800",Hybrid,1490,Lahore,PKR 91 lacs
KIA Sorento  2021 3.5 FWD ,2019,Automatic,"35,000",Hybrid,1500,Lahore,PKR 81 lacs
KIA Sportage  2021 Alpha ,2014,Automatic,"87,500",Petrol,660,Lahore,PKR 24.85 lacs
Honda Civic  2020 Oriel 1.8 i-VTEC CVT ,2011,Manual,"125,000",Petrol,1000,Lahore,PKR 10.35 lacs
Honda City  2015 Aspire Prosmatec 1.3 i-VTEC ,2021,Automatic,"43,000",Petrol,2000,Lahore,PKR 58.25 lacs
Toyota Aqua  2019 L ,2019,Automatic,"60,000",Petrol,1500,Lahore,PKR 39.9 lacs
Suzuki Cultus  2020 VXL ,2018,Automatic,"85,000",Petrol,1200,Lahore,PKR 74.9 lacs
Toyota Prado  2012 TX L Package 2.7 ,2021,Manual,"26,800",Petrol,1300,Lahore,PKR 35.15 lacs
Toyota Hilux  2021 Revo V Automatic 2.8 ,2012,Automatic,"142,000",Hybrid,1800,Lahore,PKR 37.9 lacs
Suzuki Wagon R  2018 VXL ,2020,Automatic,"49,000",Petrol,2000,Lahore,PKR 69.5 lacs
Honda Insight  2021 EX ,2014,Automatic,"110,000",Petrol,5000,Lahore,PKR 5.25 crore
BMW X5 Series  2003 3.0i ,2016,Automatic,"90,000",Petrol,1800,Lahore,PKR 46 lacs
Daihatsu Mira  2022 L ,2020,Automatic,"39,000",Petrol,660,Lahore,PKR 35.1 lacs
Mercedes Benz S Class  2006 S350 ,2022,Automatic,"7,500",Petrol,1300,Lahore,PKR 30 lacs
KIA Sport,2022,Automatic,1,Petrol,1600,Lahore,PKR 66 lacs
Audi,2005,Automatic,"154,000",Petrol,1500,Lahore,PKR 15.4 lacs
Toyota Ya,2023,Automatic,1,Petrol,1500,Lahore,PKR 76 lacs
Honda C,2015,Manual,"70,000",Petrol,1000,Lahore,PKR 17 lacs
Suzuki Cul,2020,Automatic,"30,000",Petrol,2000,Lahore,PKR 74 lacs
Toyota Coro,2022,Automatic,"27,500",Petrol,1800,Lahore,PKR 68 lacs
Toyota Pr,2007,Manual,"232,000",Petrol,1300,Lahore,PKR 16.5 lacs
Honda C,2017,Manual,"32,000",Petrol,796,Lahore,PKR 11.8 lacs
Honda N ,2018,Automatic,"6,100",Petrol,2700,Lahore,PKR 3.25 crore
Suzuki Cul,1993,Manual,"100,000",Petrol,130,Lahore,PKR 5.5 lacs
Mercedes Benz C Class  2017 C180 Avantgarde ,2014,Automatic,"82,000",Petrol,1300,Lahore,PKR 23.5 lacs
Mercedes Benz C Class  2011 C200 ,2001,Automatic,"140,000",Petrol,3400,Lahore,PKR 59.9 lacs
Mercedes Benz E Class 3rd (W211) Generation 2005 E240 ,2020,Automatic,"32,815",Petrol,2000,Lahore,PKR 72 lacs
Toyota Vitz  2015 F 1.0 ,2017,Automatic,"111,000",Petrol,1800,Lahore,PKR 49 lacs
KIA Sportage  2021 AWD ,2015,Automatic,"115,000",Petrol,1300,Lahore,PKR 32 lacs
Suzuki Wagon R  2020 Hybrid FZ ,2012,Automatic,"121,000",Petrol,800,Lahore,PKR 14 lacs
Honda HR-V  2023 VTi-S ,2016,Automatic,"170,000",Hybrid,1500,Lahore,PKR 55 lacs
Toyota Vitz  2018 F 1.0 ,2018,Automatic,"102,200",Petrol,996,Lahore,PKR 40.6 lacs
KIA Sportage  2023 FWD ,2007,Automatic,"77,000",Petrol,1300,Lahore,PKR 21.5 lacs
Toyota C-HR  2017 G ,2021,Automatic,"27,000",Petrol,1300,Lahore,PKR 42 lacs
Honda Civic Rebirth 2012 VTi Prosmatec 1.8 i-VTEC ,2018,Automatic,"122,218",Hybrid,1500,Lahore,PKR 62.5 lacs
Honda Civic Rebirth 2012 Oriel Prosmatec UG ,2015,Automatic,"70,000",Petrol,660,Lahore,PKR 27.75 lacs
Nissan Sunny  2005 EX Saloon 1.3 (CNG) ,2021,Automatic,"18,000",Petrol,660,Lahore,PKR 34.8 lacs
Daihatsu Move  2017 L ,2020,Automatic,"25,000",Petrol,660,Lahore,PKR 35.5 lacs
Toyota Land Cruiser  2008 AX G Selection ,2007,Automatic,"120,202",Petrol,1800,Lahore,PKR 26 lacs
Toyota Prius  2012 G Touring Selection Leather Package 1.8 ,2021,Automatic,"23,136",Petrol,1500,Lahore,PKR 74 lacs
Toyota Fortuner  2021 2.7 G ,2014,Automatic,"185,000",Petrol,1800,Lahore,PKR 39 lacs
Honda N Wgn  2014 Custom G ,2019,Automatic,"73,412",Petrol,1500,Lahore,PKR 39.75 lacs
Toyota Vitz  2014 F 1.0 ,2020,Automatic,"38,000",Hybrid,660,Lahore,PKR 42.9 lacs
Honda City  2016 1.3 i-VTEC Prosmatec ,2022,Automatic,"27,000",Petrol,2500,Lahore,PKR 99.5 lacs
Honda Civic  2017 Oriel 1.8 i-VTEC CVT ,2021,Manual,"25,000",Petrol,1000,Lahore,PKR 27.5 lacs
Honda Civic  2020 Oriel 1.8 i-VTEC CVT ,2020,Automatic,"107,000",Petrol,1500,Lahore,PKR 41.75 lacs
Toyota Yaris  2023 GLI MT 1.3 ,2014,Automatic,"150,000",Hybrid,1500,Lahore,PKR 50 lacs
Honda City 5th Generation 2017 Aspire Prosmatec 1.3 i-VTEC ,2004,Automatic,"220,000",Petrol,1300,Lahore,PKR 18.5 lacs
Honda City  2014 1.3 i-VTEC ,2022,Manual,"9,000",Petrol,660,Lahore,PKR 25.5 lacs
Toyota Corolla  2002 SE Saloon Automatic ,2019,Automatic,"126,000",Petrol,1800,Lahore,PKR 54.75 lacs
Toyota Corolla  2012 XLi VVTi Limited Edition ,2018,Manual,"42,150",Petrol,1000,Lahore,PKR 22.65 lacs
Honda City  2004 i-DSI ,2020,Automatic,"22,000",Petrol,660,Lahore,PKR 33.95 lacs
Honda Civic  2018 Oriel 1.8 i-VTEC CVT ,2020,Automatic,"18,000",Hybrid,660,Lahore,PKR 33.95 lacs
KIA Sportage  2022 AWD ,2018,Automatic,"55,000",Petrol,996,Lahore,PKR 37.5 lacs
Honda City  2021 Aspire Prosmatec 1.5 i-VTEC ,2020,Automatic,"46,000",Petrol,660,Lahore,PKR 32.95 lacs
Honda City  2000 EXi ,2023,Automatic,"10,000",Petrol,660,Lahore,PKR 22.75 lacs
Nissan Wingroad  2006 15M Four Plus Navi HDD Safety ,2020,Automatic,"24,000",Petrol,660,Lahore,PKR 36.75 lacs
Honda City 5th Generation 2011 1.3 i-VTEC ,2018,Automatic,"43,000",Petrol,1500,Lahore,PKR 65 lacs
KIA Sportage  2022 FWD ,2011,Manual,"92,000",Petrol,1300,Lahore,PKR 25 lacs
KIA Sportage  2022 AWD ,2020,Automatic,"42,000",Petrol,660,Lahore,PKR 34.9 lacs
KIA Sportage  2021 AWD ,2006,Manual,"80,885",Petrol,1000,Lahore,PKR 7.6 lacs
KIA Sport,2016,Automatic,"90,000",Petrol,660,Lahore,PKR 17.5 lacs
Audi,2013,Automatic,"134,580",Petrol,4600,Lahore,PKR 3.4 crore
Toyota Ya,2017,Automatic,"79,000",Hybrid,1500,Lahore,PKR 46.5 lacs
Honda C,2016,Automatic,"125,000",Petrol,660,Lahore,PKR 21.75 lacs
Suzuki Cul,2008,Manual,"156,324",Petrol,1000,Lahore,PKR 8.5 lacs
Toyota Coro,2022,Automatic,"47,000",Petrol,1500,Lahore,PKR 47.75 lacs
Toyota Pr,2019,Manual,"58,000",Petrol,800,Lahore,PKR 14.3 lacs
Honda C,2016,Automatic,"72,000",Hybrid,1500,Lahore,PKR 62 lacs
Honda N ,2022,Automatic,"45,000",Petrol,1500,Lahore,PKR 76.75 lacs
Suzuki Cul,2020,Automatic,"34,000",Petrol,2000,Lahore,Call
KIA Sportage  2021 AWD ,2018,Automatic,"65,000",Petrol,1800,Lahore,PKR 52.5 lacs
KIA Sportage  2021 FWD ,2016,Manual,"81,000",Petrol,1300,Lahore,PKR 31 lacs
KIA Sportage  2022 AWD ,2015,Automatic,"116,000",Petrol,1800,Lahore,PKR 37 lacs
KIA Sportage  2021 Alpha ,2021,Automatic,"22,000",Diesel,2800,Lahore,PKR 1.6 crore
KIA Sportage  2022 FWD ,2022,Automatic,"36,000",Petrol,2500,Lahore,PKR 1.05 crore
KIA Sportage  2023 AWD ,2021,Automatic,"15,000",Hybrid,660,Lahore,PKR 43.5 lacs
KIA Sportage  2022 Alpha ,2004,Automatic,"155,000",Petrol,1600,Lahore,PKR 19 lacs
KIA Sportage  2004 2.0 LX 4x4 ,2021,Automatic,"65,000",Petrol,1500,Lahore,PKR 53.9 lacs
KIA Sportage  2021 AWD ,2012,Automatic,"95,000",Petrol,1800,Lahore,PKR 87 lacs
Changan Alsvin  2022 1.3L MT Comfort ,2020,Automatic,"13,473",Hybrid,1500,Lahore,Call
Suzuki Mehran  2006 VXR ,2017,Automatic,"48,000",Petrol,1500,Lahore,PKR 1.5 crore
Toyota Passo  2018  ,2021,Automatic,"43,800",Diesel,2800,Lahore,PKR 1.22 crore
Daihatsu Mira  2018  ,2006,Automatic,"200,000",Petrol,1800,Lahore,PKR 50 lacs
Toyota Vitz  2007  ,2019,Automatic,"50,000",Petrol,1800,Lahore,PKR 57 lacs
Suzuki Mehran  2014 VXR Euro II ,2014,Automatic,"133,000",Petrol,4600,Lahore,PKR 3.25 crore
Suzuki Alto  2020 L limited 40th anniversary edition ,2003,Manual,"85,123",Petrol,1300,Lahore,PKR 7.2 lacs
Honda City  2015 1.3 i-VTEC ,2018,Automatic,"94,000",Petrol,1800,Lahore,PKR 52 lacs
Daihatsu Mira  2016 ES ,2021,Automatic,"40,000",Petrol,1500,Lahore,PKR 51.75 lacs
Toyota Corolla  2019 GLi Automatic 1.3 VVTi ,2024,Automatic,400,Petrol,1500,Lahore,PKR 96.8 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2022,Automatic,"43,000",Hybrid,1798,Lahore,PKR 1.02 crore
MG HS  2023 Essence ,2017,Automatic,"70,000",Petrol,0.0,Lahore,PKR 32.45 lacs
Suzuki Wagon R  2020 VXL ,2021,Automatic,"13,000",Hybrid,1496,Lahore,PKR 1.24 crore
Suzuki Every 11th Generation (JDM) 2016 PC ,2021,Manual,"19,000",Petrol,1300,Lahore,PKR 41 lacs
KIA Sportage  2021 AWD ,2021,Automatic,"6,500",Petrol,659,Lahore,PKR 35.5 lacs
Honda City 5th Generation 2019 Aspire Prosmatec 1.5 i-VTEC ,2014,Automatic,"105,000",Petrol,1800,Lahore,PKR 80 lacs
Suzuki Cultus  2019 VXL ,2005,Automatic,"12,920",Petrol,1500,Lahore,PKR 24.6 lacs
Suzuki Cultus  2009 VXRi ,2003,Automatic,"167,000",Petrol,2000,Lahore,PKR 23.5 lacs
Honda City  2005 i-DSI Vario ,2019,Manual,"77,500",Petrol,796,Lahore,PKR 14.25 lacs
Honda City  2011 1.3 i-VTEC ,2019,Automatic,"83,000",Hybrid,1500,Lahore,PKR 1.04 crore
Hyundai Tucson  2021 AWD A/T Ultimate ,2017,Automatic,"88,000",Hybrid,1800,Lahore,PKR 85 lacs
Honda City  2007 i-DSI ,2023,Automatic,1,Petrol,1200,Lahore,PKR 48.65 lacs
KIA Picanto  2023 1.0 MT ,2018,Automatic,"60,000",Petrol,1800,Lahore,PKR 50.85 lacs
Mitsubishi Ek Wagon  2010 G ,2014,Manual,"103,000",Petrol,796,Lahore,PKR 10 lacs
Honda Civic  2005 EXi ,2017,Automatic,"63,000",Petrol,1500,Lahore,PKR 34.7 lacs
KIA Sportage  2021 AWD ,2015,Automatic,"91,000",Hybrid,1500,Lahore,PKR 48.75 lacs
KIA Sportage  2020 FWD ,by,Petrol,PakWheels,2016,"3,277",Managed,PKR 16.5 lacs
KIA Sportage  2020 FWD ,2024,Automatic,25,Petrol,1800,Lahore,PKR 77.81 lacs
KIA Sport,2006,Automatic,"180,000",Petrol,1000,Lahore,PKR 18.8 lacs
Audi,2020,Automatic,"61,000",Petrol,1000,Lahore,PKR 28.5 lacs
Toyota Ya,2023,Automatic,"4,000",Diesel,2800,Lahore,PKR 2.03 crore
Honda C,2006,Automatic,"143,000",Petrol,3500,Lahore,PKR 89 lacs
Suzuki Cul,2020,Automatic,"95,541",Petrol,1600,Lahore,PKR 52 lacs
Toyota Coro,2021,Automatic,"47,000",Petrol,1800,Lahore,PKR 64.5 lacs
Toyota Pr,2020,Automatic,"35,000",Petrol,1000,Lahore,PKR 37.9 lacs
Honda C,2018,Automatic,"37,000",Petrol,4600,Lahore,PKR 4.7 crore
Honda N ,2020,Automatic,"64,500",Hybrid,1800,Lahore,PKR 1.24 crore
Suzuki Cul,2013,Automatic,"185,000",Petrol,1500,Lahore,PKR 28.75 lacs
Audi A4  2018 1.4 TFSI  ,2015,Automatic,"147,000",Petrol,1800,Lahore,PKR 38.5 lacs
Audi A5  2014 1.8 TFSI ,2021,Automatic,"8,000",Petrol,1000,Lahore,PKR 54.99 lacs
Audi Q3  2016 1.4 TFSI ,2012,Manual,"20,000",Petrol,800,Lahore,PKR 8.8 lacs
Lexus RX Series  2012 450h ,2020,Automatic,"47,636",Electric,60.0,Lahore,PKR 2.18 crore
Suzuki Wagon R  2020 Hybrid FX ,2020,Automatic,"22,800",Hybrid,1490,Lahore,PKR 91 lacs
Toyota Land Cruiser  2022 ZX Gasoline 3.5L ,2020,Automatic,"35,500",Electric,60.0,Lahore,PKR 2.15 crore
Toyota Vitz  2013 F 1.0 ,2019,Automatic,"35,000",Hybrid,1500,Lahore,PKR 81 lacs
Toyota Corolla  2018 GLi 1.3 VVTi ,2022,Automatic,"35,580",Petrol,1800,Lahore,PKR 67.5 lacs
Hyundai Elantra  2021 GLS ,2014,Automatic,"87,500",Petrol,660,Lahore,PKR 24.85 lacs
Suzuki Swift  2017 DLX 1.3 Navigation  ,2010,Manual,"117,000",Petrol,1300,Lahore,PKR 27.5 lacs
Honda Vamos  2011  ,2011,Manual,"125,000",Petrol,1000,Lahore,PKR 10.35 lacs
Honda BR-V  2017 i-VTEC ,2022,Automatic,"12,000",Petrol,1000,Lahore,PKR 38.75 lacs
Toyota Prado  2012 TX L Package 2.7 ,2021,Automatic,"43,000",Petrol,2000,Lahore,PKR 58.25 lacs
Honda Civic  2018 Oriel 1.8 i-VTEC CVT ,2015,Manual,"75,000",Petrol,1000,Lahore,PKR 19.4 lacs
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC ,2021,Manual,"28,000",Petrol,660,Lahore,PKR 23.95 lacs
Toyota Corolla  2015 GLi Automatic 1.3 VVTi ,2007,Manual,"150,000",Petrol,1600,Lahore,PKR 19 lacs
Range Rover Vogue  2020 P400e ,2011,Manual,"100,000",Petrol,1600,Lahore,PKR 20 lacs
Honda Civic  2008 VTi Oriel Prosmatec 1.8 i-VTEC ,2004,Manual,"250,000",Petrol,1600,Lahore,PKR 15.75 lacs
Suzuki Cultus  2018 VXL ,2021,Automatic,"34,000",Petrol,1600,Lahore,PKR 64 lacs
Nissan Dayz  2016  ,2009,Manual,"82,000",Petrol,800,Lahore,PKR 7.25 lacs
Mercedes Benz S Class  1983  ,2019,Automatic,"60,000",Petrol,1500,Lahore,PKR 39.9 lacs
Toyota Land Cruiser  2016 ZX G-Frontier ,2018,Automatic,"85,000",Petrol,1200,Lahore,PKR 74.9 lacs
Mitsubishi Mirage  2013 1.0 G ,1990,Manual,"65,000",Petrol,1000,Lahore,PKR 2.8 lacs
Toyota Fortuner  2021 2.8 Sigma 4 ,2016,Automatic,"75,995",Petrol,1800,Lahore,PKR 44 lacs
Suzuki Wagon R  2022 VXL ,2022,Automatic,"3,300",Petrol,2000,Lahore,PKR 80.6 lacs
Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC ,2013,Automatic,"185,000",Petrol,1500,Lahore,PKR 28.75 lacs
Suzuki Mehran  2018 VXR Euro II ,2014,Manual,"125,000",Petrol,1300,Lahore,PKR 25.5 lacs
Suzuki Swift  2011 DLX 1.3 ,2021,Automatic,"28,500",Petrol,2000,Lahore,PKR 74.5 lacs
Suzuki Cultus  2005 VXL ,2020,Automatic,"38,000",Petrol,660,Lahore,PKR 35.75 lacs
Honda Civic 11th Generation 2022 Oriel ,2022,Automatic,"17,000",Petrol,1800,Lahore,PKR 68.5 lacs
Toyota Hilux  2005 D-4D Automatic ,2020,Automatic,"85,000",Petrol,1500,Lahore,PKR 39 lacs
Honda City  2022  ,2018,Manual,"93,000",Petrol,1300,Lahore,PKR 31 lacs
Suzuki Cultus  2013 EURO II ,2022,Automatic,"28,000",Petrol,1500,Lahore,PKR 48.5 lacs
Honda City  2016 Aspire 1.5 i-VTEC ,2021,Automatic,"40,000",Petrol,2000,Lahore,PKR 77 lacs
Hyundai Elantra  2022 GL ,2015,Automatic,"103,000",Petrol,4000,Lahore,PKR 3.65 crore
Honda BR-V  2019 i-VTEC S ,2014,Automatic,"118,000",Petrol,1800,Lahore,PKR 36 lacs
Hyundai Elantra  2022 GLS ,2011,Manual,"40,000",Petrol,800,Lahore,PKR 6.6 lacs
KIA Sport,2022,Manual,"17,000",Petrol,999,Lahore,PKR 25.99 lacs
Audi,2021,Automatic,"45,000",Petrol,2000,Lahore,PKR 74.5 lacs
Toyota Ya,2018,Automatic,"70,000",Hybrid,1800,Lahore,PKR 88 lacs
Honda C,2007,Automatic,"77,000",Petrol,1300,Lahore,PKR 21.5 lacs
Suzuki Cul,2023,Automatic,"5,000",Petrol,1600,Lahore,Call
Toyota Coro,2022,Automatic,"74,500",Hybrid,1500,Lahore,PKR 54 lacs
Toyota Pr,2012,Automatic,"98,000",Petrol,1500,Lahore,PKR 29.5 lacs
